model,n,contexts,vocabulary_size,cross_entropy,perplexity,unknown_context_rate
2-gram,2,31,32,3.4599964757118826,11.004307663208046,0.0
3-gram,3,181,32,2.953452849351723,7.746007237496478,0.15625
4-gram,4,289,32,3.3168243460374636,9.964686009826723,0.532258064516129
